joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.069568,0.040239,-0.043047,0.100120,-0.085395,-0.012729,0.202285,-0.113328,0.081221,0.146161,0.158115,-0.141715,-0.141715,-0.166519,-0.194126,0.268143,-0.268143,-0.090225,0.064875,-0.583717,0.583717,0.457985,0.457985,0.174803,-0.174803,-0.410930,-0.410930,-0.047774,-0.047774
0.069240,0.039599,-0.043263,0.100199,-0.085185,-0.012884,0.202629,-0.112975,0.081757,0.145370,0.157921,-0.140644,-0.140644,-0.165932,-0.193825,0.269397,-0.269397,-0.090327,0.064791,-0.584218,0.584218,0.454889,0.454889,0.174816,-0.174816,-0.411547,-0.411547,-0.047532,-0.047532
0.068722,0.038885,-0.043458,0.100260,-0.085032,-0.013051,0.202677,-0.112722,0.082338,0.144673,0.157575,-0.139567,-0.139567,-0.165317,-0.193352,0.270684,-0.270684,-0.090372,0.064715,-0.584784,0.584784,0.451564,0.451564,0.174851,-0.174851,-0.412389,-0.412389,-0.047331,-0.047331
0.068109,0.038135,-0.043642,0.100313,-0.084909,-0.013223,0.202577,-0.112520,0.082943,0.144022,0.157154,-0.138484,-0.138484,-0.164688,-0.192795,0.272009,-0.272009,-0.090388,0.064644,-0.585395,0.585395,0.448007,0.448007,0.174917,-0.174917,-0.413472,-0.413472,-0.047196,-0.047196
0.067277,0.037074,-0.043667,0.100310,-0.084832,-0.013433,0.202407,-0.112463,0.083621,0.143567,0.156757,-0.137392,-0.137392,-0.163866,-0.192173,0.273376,-0.273376,-0.090360,0.064556,-0.586035,0.586035,0.444203,0.444203,0.175020,-0.175020,-0.414809,-0.414809,-0.047146,-0.047146
0.066290,0.035929,-0.043678,0.100284,-0.084790,-0.013627,0.202262,-0.112371,0.084392,0.143193,0.156398,-0.136294,-0.136294,-0.162939,-0.191534,0.274792,-0.274792,-0.090271,0.064477,-0.586689,0.586689,0.440136,0.440136,0.175156,-0.175156,-0.416404,-0.416404,-0.047193,-0.047193
0.064995,0.034616,-0.043660,0.100215,-0.084819,-0.013792,0.202167,-0.112209,0.085350,0.142981,0.156119,-0.135204,-0.135204,-0.161801,-0.190859,0.276262,-0.276262,-0.090061,0.064414,-0.587344,0.587344,0.435798,0.435798,0.175315,-0.175315,-0.418249,-0.418249,-0.047339,-0.047339
0.063551,0.033140,-0.043715,0.100111,-0.084893,-0.013948,0.202117,-0.112062,0.086435,0.142708,0.155664,-0.134139,-0.134139,-0.160642,-0.190011,0.277790,-0.277790,-0.089806,0.064398,-0.587989,0.587989,0.431192,0.431192,0.175482,-0.175482,-0.420319,-0.420319,-0.047574,-0.047574
0.062031,0.031584,-0.043807,0.099990,-0.084988,-0.014098,0.202090,-0.111922,0.087584,0.142403,0.155121,-0.133117,-0.133117,-0.159471,-0.189076,0.279386,-0.279386,-0.089530,0.064406,-0.588619,0.588619,0.426319,0.426319,0.175645,-0.175645,-0.422585,-0.422585,-0.047885,-0.047885
0.060150,0.029717,-0.043823,0.099743,-0.085160,-0.014314,0.202005,-0.111840,0.089003,0.142195,0.154961,-0.132152,-0.132152,-0.158224,-0.188259,0.281065,-0.281065,-0.089090,0.064294,-0.589242,0.589242,0.421175,0.421175,0.175793,-0.175793,-0.425019,-0.425019,-0.048256,-0.048256
