body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-0.045018,-0.010062,0.726310,-0.069398,0.113360,0.609682,0.068545,0.152464,0.339135,-0.028303,0.140899,0.037640,-0.056391,-0.118749,0.595357,0.100530,-0.151924,0.334598,-0.007234,-0.154790,0.037006,-0.034806,-0.012192,0.769239,0.161073,0.131246,0.921924,0.194391,0.160895,0.743219,0.294260,0.097886,0.604572,0.164453,-0.146687,0.925637,0.198540,-0.180278,0.747776,0.296892,-0.118586,0.607464
-0.048421,-0.009533,0.718418,-0.073933,0.113978,0.603209,0.072810,0.154545,0.337551,-0.028445,0.141433,0.037659,-0.061164,-0.118126,0.588566,0.104324,-0.152212,0.333279,-0.007098,-0.154407,0.037113,-0.037265,-0.011683,0.761110,0.162646,0.131532,0.909409,0.199676,0.158963,0.731082,0.298739,0.097782,0.590874,0.165886,-0.146129,0.913159,0.203601,-0.177494,0.735626,0.301254,-0.117828,0.593786
-0.051941,-0.009033,0.709678,-0.078621,0.114540,0.595990,0.077006,0.156612,0.335676,-0.028677,0.141861,0.037493,-0.066114,-0.117560,0.581063,0.107984,-0.152558,0.331696,-0.007280,-0.154016,0.037089,-0.039815,-0.011194,0.752104,0.164163,0.131806,0.895752,0.205026,0.157196,0.717964,0.303641,0.097704,0.576564,0.167213,-0.145565,0.899657,0.208680,-0.175044,0.722641,0.306007,-0.117402,0.579592
-0.055560,-0.008411,0.700165,-0.083451,0.115204,0.588115,0.081086,0.158825,0.333599,-0.029002,0.142348,0.037215,-0.071256,-0.116896,0.572933,0.111464,-0.152844,0.329951,-0.007583,-0.153561,0.036946,-0.042430,-0.010578,0.742291,0.165657,0.132244,0.880952,0.210461,0.155779,0.703861,0.309059,0.097783,0.561691,0.168460,-0.144820,0.885213,0.213787,-0.172878,0.708916,0.311235,-0.117299,0.564999
-0.059229,-0.007729,0.690265,-0.088349,0.115914,0.579955,0.084998,0.161059,0.331627,-0.029459,0.142765,0.037128,-0.076497,-0.116189,0.564538,0.114711,-0.153154,0.328333,-0.008078,-0.153137,0.036978,-0.045083,-0.009898,0.732061,0.167065,0.132761,0.865520,0.215938,0.154704,0.689306,0.315024,0.098071,0.546797,0.169610,-0.143982,0.870246,0.218935,-0.171026,0.694869,0.317006,-0.117480,0.550478
-0.062910,-0.007136,0.679581,-0.093378,0.116483,0.571127,0.088646,0.163142,0.329373,-0.029746,0.142977,0.036677,-0.081879,-0.115627,0.555540,0.117588,-0.153478,0.326410,-0.008742,-0.152515,0.036677,-0.047698,-0.009290,0.721001,0.168616,0.133256,0.848715,0.221389,0.153761,0.673457,0.321216,0.098295,0.530886,0.170890,-0.143149,0.854116,0.224050,-0.169615,0.679777,0.322997,-0.118126,0.535115
-0.066629,-0.006540,0.668712,-0.098457,0.117039,0.562210,0.092038,0.165148,0.327365,-0.030146,0.143088,0.036490,-0.087321,-0.115079,0.546470,0.120152,-0.153856,0.324721,-0.009515,-0.151948,0.036573,-0.050350,-0.008674,0.709726,0.170016,0.133773,0.831487,0.226634,0.153012,0.657291,0.327515,0.098607,0.514939,0.172056,-0.142284,0.837630,0.229009,-0.168413,0.664443,0.329123,-0.118910,0.519779
-0.070426,-0.005937,0.657471,-0.103649,0.117579,0.553029,0.095126,0.167098,0.325450,-0.030609,0.143185,0.036354,-0.092882,-0.114547,0.537158,0.122351,-0.154238,0.323100,-0.010262,-0.151373,0.036402,-0.053069,-0.008046,0.698042,0.171258,0.134342,0.813532,0.231456,0.152331,0.640408,0.333450,0.098857,0.498389,0.173107,-0.141362,0.820530,0.233599,-0.167301,0.648521,0.334916,-0.119738,0.503937
-0.073895,-0.005474,0.646126,-0.108505,0.117956,0.543793,0.098290,0.168912,0.323805,-0.030560,0.143195,0.036343,-0.097963,-0.114172,0.527775,0.124669,-0.154587,0.321560,-0.010798,-0.150760,0.036303,-0.055509,-0.007546,0.686243,0.172452,0.134844,0.795543,0.236036,0.151564,0.623507,0.339181,0.098994,0.481876,0.174242,-0.140510,0.803374,0.238101,-0.166153,0.632544,0.340607,-0.120382,0.488116
-0.077201,-0.005081,0.634730,-0.113191,0.118246,0.534571,0.101347,0.170632,0.322476,-0.030388,0.143113,0.036593,-0.102805,-0.113878,0.518393,0.126900,-0.154945,0.320218,-0.011365,-0.150152,0.036413,-0.057815,-0.007110,0.674376,0.173512,0.135319,0.777481,0.240051,0.150600,0.606435,0.344080,0.098869,0.465034,0.175329,-0.139694,0.786141,0.242135,-0.164826,0.616368,0.345531,-0.120725,0.471949
