joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.055971,0.025522,-0.044069,0.099042,-0.085549,-0.014706,0.201718,-0.111655,0.092208,0.141275,0.154136,0.023238,-0.082500,-0.155522,-0.185942,0.390005,-0.386277,-0.088340,0.063948,-0.477767,0.637186,1.127357,1.190739,0.180339,-0.110216,0.007111,-0.014997,-0.049041,0.115754
0.053486,0.023088,-0.044183,0.098640,-0.085772,-0.014886,0.201800,-0.111617,0.094120,0.140656,0.153686,0.021889,-0.084408,-0.154111,-0.184675,0.390113,-0.386388,-0.088051,0.063659,-0.477933,0.636868,1.126863,1.190734,0.180634,-0.109651,0.006566,-0.015348,-0.049424,0.115032
0.050854,0.020543,-0.044267,0.098239,-0.086003,-0.015064,0.202010,-0.111608,0.096141,0.140020,0.153282,0.020361,-0.086503,-0.152697,-0.183440,0.390243,-0.386473,-0.087789,0.063328,-0.478293,0.636618,1.126344,1.190692,0.181296,-0.108948,0.005837,-0.015741,-0.049794,0.114338
0.047643,0.017372,-0.044270,0.097766,-0.086360,-0.015288,0.202102,-0.111633,0.098483,0.139376,0.152878,0.018362,-0.088947,-0.151088,-0.182168,0.390632,-0.386798,-0.087314,0.063019,-0.478847,0.637119,1.125494,1.190087,0.181215,-0.108177,0.005409,-0.016219,-0.050443,0.113797
0.044226,0.014025,-0.044270,0.097283,-0.086730,-0.015519,0.202213,-0.111665,0.100994,0.138726,0.152485,0.016032,-0.091679,-0.149394,-0.180805,0.391037,-0.387046,-0.086788,0.062761,-0.479553,0.637637,1.124584,1.189609,0.181110,-0.107170,0.004912,-0.016800,-0.051209,0.113161
0.040396,0.010322,-0.044266,0.096779,-0.087126,-0.015763,0.202364,-0.111710,0.103840,0.138062,0.152111,0.013036,-0.094988,-0.147529,-0.179258,0.391500,-0.387200,-0.086160,0.062602,-0.480562,0.638191,1.123557,1.189387,0.180958,-0.105691,0.004278,-0.017587,-0.052208,0.112337
0.036079,0.006081,-0.044234,0.096242,-0.087564,-0.016114,0.202324,-0.111654,0.106907,0.137132,0.151459,0.009815,-0.098545,-0.145359,-0.177380,0.392136,-0.387383,-0.085406,0.062542,-0.481545,0.639670,1.122867,1.189339,0.180980,-0.104966,0.003667,-0.018473,-0.053073,0.111764
0.031519,0.001570,-0.044187,0.095690,-0.088023,-0.016518,0.202189,-0.111547,0.110085,0.136069,0.150667,0.006481,-0.102226,-0.143036,-0.175337,0.392872,-0.387587,-0.084589,0.062531,-0.482514,0.641612,1.122345,1.189379,0.181089,-0.104619,0.003067,-0.019407,-0.053872,0.111318
0.026209,-0.003671,-0.044254,0.094973,-0.088400,-0.017062,0.201649,-0.111404,0.113696,0.135263,0.150254,0.002350,-0.106747,-0.140445,-0.173163,0.393725,-0.387566,-0.083622,0.062712,-0.483156,0.643631,1.122451,1.189611,0.181424,-0.104143,0.002754,-0.020261,-0.054870,0.110800
0.020663,-0.009088,-0.044327,0.094217,-0.088837,-0.017654,0.201021,-0.111322,0.117462,0.134287,0.149759,-0.001916,-0.111405,-0.137728,-0.170852,0.394698,-0.387623,-0.082704,0.062881,-0.483815,0.645950,1.122647,1.189850,0.181937,-0.103782,0.002323,-0.021197,-0.056018,0.110224
0.014643,-0.014858,-0.044409,0.093383,-0.089397,-0.018344,0.200218,-0.111365,0.121538,0.132969,0.149103,-0.006449,-0.116341,-0.134758,-0.168265,0.395879,-0.387813,-0.081884,0.063027,-0.484506,0.648866,1.123023,1.190105,0.182807,-0.103652,0.001657,-0.022299,-0.057467,0.109535
0.008185,-0.021048,-0.044281,0.092462,-0.090047,-0.019107,0.199126,-0.111578,0.126209,0.131702,0.148743,-0.011865,-0.121811,-0.131635,-0.165604,0.397212,-0.388282,-0.080903,0.063151,-0.484873,0.652510,1.123717,1.190147,0.183517,-0.103750,0.000982,-0.023578,-0.059185,0.109046
0.001508,-0.027449,-0.044048,0.091499,-0.090743,-0.019907,0.197890,-0.111878,0.131177,0.130460,0.148531,-0.017722,-0.127549,-0.128437,-0.162906,0.398668,-0.388948,-0.079842,0.063263,-0.485078,0.656518,1.124571,1.190083,0.184147,-0.103960,0.000301,-0.024947,-0.061039,0.108657
