joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.377983,-0.450442,-0.048374,0.084617,-0.134414,-0.041788,0.201973,-0.086280,0.518565,0.357927,0.443126,-0.808183,-0.957019,-0.125920,-0.130400,0.654636,-0.483584,-0.044261,0.077947,-0.465105,0.570887,0.499866,0.650212,-0.316772,0.316772,0.014299,0.014299,-0.057847,-0.057847
-0.350352,-0.423462,-0.048385,0.083092,-0.132974,-0.039629,0.204043,-0.086417,0.515057,0.337401,0.424814,-0.790055,-0.939099,-0.120728,-0.126293,0.654077,-0.484250,-0.045419,0.079066,-0.453143,0.564384,0.483802,0.622538,-0.309488,0.309488,0.023350,0.023350,-0.060130,-0.060130
-0.324738,-0.398505,-0.048743,0.081273,-0.131581,-0.037773,0.205351,-0.086438,0.508822,0.317398,0.406970,-0.770914,-0.920639,-0.115101,-0.122344,0.653568,-0.484841,-0.046936,0.079535,-0.440821,0.558287,0.466479,0.594410,-0.300861,0.300861,0.032884,0.032884,-0.062284,-0.062284
-0.300015,-0.374284,-0.048992,0.079499,-0.130167,-0.035816,0.206428,-0.086555,0.501270,0.297657,0.389149,-0.750671,-0.901403,-0.109562,-0.118533,0.652914,-0.485559,-0.048542,0.079767,-0.428260,0.552796,0.447983,0.565695,-0.290660,0.290660,0.042880,0.042880,-0.064433,-0.064433
-0.277072,-0.351538,-0.049025,0.077815,-0.128709,-0.033654,0.207044,-0.086860,0.491082,0.278440,0.371373,-0.729282,-0.881168,-0.104197,-0.115000,0.651931,-0.486605,-0.050327,0.079525,-0.415581,0.548043,0.428386,0.536281,-0.278843,0.278843,0.053251,0.053251,-0.066706,-0.066706
-0.255899,-0.329882,-0.049070,0.076384,-0.127044,-0.031181,0.207167,-0.087588,0.477454,0.259870,0.353394,-0.706766,-0.859751,-0.099131,-0.111977,0.650446,-0.488149,-0.052283,0.079145,-0.402911,0.544067,0.407777,0.506123,-0.265549,0.265549,0.063862,0.063862,-0.069214,-0.069214
-0.235611,-0.308773,-0.049121,0.075079,-0.125275,-0.028551,0.207042,-0.088527,0.462106,0.241624,0.335314,-0.683217,-0.837043,-0.094215,-0.109209,0.648309,-0.490291,-0.054325,0.078697,-0.390394,0.540825,0.386300,0.475304,-0.251058,0.251058,0.074563,0.074563,-0.072026,-0.072026
-0.215756,-0.287520,-0.048185,0.074701,-0.122881,-0.025679,0.206853,-0.089888,0.445176,0.224989,0.317127,-0.658810,-0.813040,-0.090908,-0.107346,0.645392,-0.493031,-0.056879,0.078620,-0.378168,0.538201,0.364190,0.444063,-0.235725,0.235725,0.085222,0.085222,-0.075142,-0.075142
-0.195649,-0.265783,-0.046935,0.074521,-0.120456,-0.022918,0.206780,-0.091423,0.428553,0.209135,0.299324,-0.633777,-0.787863,-0.088161,-0.106137,0.641602,-0.496265,-0.059325,0.078592,-0.366337,0.536040,0.341753,0.412776,-0.219924,0.219924,0.095753,0.095753,-0.078495,-0.078495
-0.175039,-0.243077,-0.045056,0.074733,-0.117969,-0.020378,0.206941,-0.093309,0.412543,0.194846,0.282291,-0.608376,-0.761754,-0.086536,-0.106233,0.636898,-0.499799,-0.061555,0.078660,-0.354937,0.534162,0.319319,0.381891,-0.204014,0.204014,0.106099,0.106099,-0.081977,-0.081977
