joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.302250,0.320275,0.010325,0.069825,0.071300,-0.038800,0.080075,0.035450,-0.377325,0.029100,-0.099475,0.379507,0.391917,-0.143600,-0.072025,-0.044238,0.167493,0.001700,-0.020825,0.398531,-0.269684,-0.693794,-0.676686,0.395765,-0.395765,0.186755,0.186755,-0.120953,-0.120953
0.275350,0.283400,0.009325,0.063900,0.065125,-0.041425,0.076275,0.035075,-0.346425,0.028150,-0.073100,0.350900,0.366752,-0.132675,-0.066750,-0.039106,0.161827,0.004550,-0.022700,0.377022,-0.272668,-0.679328,-0.650621,0.377558,-0.377558,0.160420,0.160420,-0.134124,-0.134124
0.239225,0.241025,0.004600,0.055900,0.056725,-0.043500,0.065675,0.026925,-0.307775,0.028975,-0.045075,0.323243,0.345058,-0.112950,-0.062650,-0.037158,0.154470,0.006100,-0.026450,0.351195,-0.278228,-0.661714,-0.621624,0.357066,-0.357066,0.134315,0.134315,-0.148349,-0.148349
0.212000,0.214350,-0.001475,0.049800,0.050325,-0.043950,0.053600,0.015125,-0.280750,0.031225,-0.029450,0.297109,0.326255,-0.094250,-0.061725,-0.038016,0.145845,0.005575,-0.030225,0.322107,-0.284539,-0.640399,-0.589526,0.333526,-0.333526,0.109763,0.109763,-0.162051,-0.162051
0.186375,0.179375,-0.004025,0.040275,0.041025,-0.044350,0.049025,0.013125,-0.250200,0.022525,-0.010300,0.273093,0.309739,-0.072650,-0.054825,-0.041173,0.136443,-0.001750,-0.025100,0.291319,-0.289976,-0.615404,-0.555047,0.306984,-0.306984,0.087922,0.087922,-0.173550,-0.173550
0.163575,0.148100,-0.006150,0.029725,0.030900,-0.044700,0.044475,0.013525,-0.224000,0.009375,0.004250,0.251706,0.295028,-0.050775,-0.046150,-0.046027,0.126925,-0.010225,-0.017000,0.260503,-0.293499,-0.587207,-0.519554,0.278279,-0.278279,0.069719,0.069719,-0.181558,-0.181558
0.144925,0.132550,-0.010900,0.020525,0.022050,-0.045025,0.032475,0.009000,-0.210100,-0.001625,0.006075,0.233378,0.281949,-0.031175,-0.039825,-0.051947,0.118092,-0.014125,-0.011975,0.231089,-0.294798,-0.556626,-0.484657,0.248664,-0.248664,0.055566,0.055566,-0.185484,-0.185484
0.127900,0.115725,-0.013025,0.010450,0.012325,-0.040400,0.021725,0.009150,-0.189025,-0.011050,0.002625,0.218477,0.270734,-0.014075,-0.032200,-0.058361,0.110754,-0.017550,-0.007350,0.204065,-0.294234,-0.524731,-0.451856,0.219385,-0.219385,0.045095,0.045095,-0.185470,-0.185470
0.121050,0.106000,-0.011500,0.004525,0.006575,-0.033125,0.017650,0.013825,-0.171300,-0.014250,-0.004400,0.207269,0.261928,-0.008075,-0.027125,-0.064854,0.105602,-0.018825,-0.005425,0.180014,-0.292592,-0.492724,-0.422300,0.191474,-0.191474,0.037222,0.037222,-0.182192,-0.182192
0.106875,0.089775,-0.017475,-0.004850,0.002925,-0.024375,0.010550,0.019175,-0.150525,-0.019200,-0.000475,0.199860,0.256104,-0.007500,-0.022525,-0.071228,0.103194,-0.014025,-0.008250,0.159301,-0.290727,-0.461737,-0.396588,0.165722,-0.165722,0.030591,0.030591,-0.176595,-0.176595
